==== Classification
0.0, 0.0, 10411.8Hz	loss: 0.10883	acc: 0.96630
0.0, 0.1, 15437.0Hz	loss: 0.13062	acc: 0.95683
0.0, 0.3, 15292.9Hz	loss: 0.27474	acc: 0.89904
0.0, 0.5, 15610.3Hz	loss: 0.37310	acc: 0.84991
5.0, 0.0, 10923.7Hz	loss: 0.11499	acc: 0.96369
5.0, 0.1, 12594.2Hz	loss: 0.13900	acc: 0.95257
5.0, 0.3, 16379.3Hz	loss: 0.29127	acc: 0.89233
5.0, 0.5, 14940.8Hz	loss: 0.38932	acc: 0.84290
15.0, 0.0, 11171.1Hz	loss: 0.15825	acc: 0.94862
15.0, 0.1, 13216.8Hz	loss: 0.20275	acc: 0.93354
15.0, 0.3, 11618.9Hz	loss: 0.39844	acc: 0.85802
15.0, 0.5, 15946.4Hz	loss: 0.48335	acc: 0.81265
30.0, 0.0, 12471.1Hz	loss: 0.21613	acc: 0.92553
30.0, 0.1, 13429.5Hz	loss: 0.29644	acc: 0.90415
30.0, 0.3, 17134.9Hz	loss: 0.50847	acc: 0.82141
30.0, 0.5,  8376.6Hz	loss: 0.57230	acc: 0.77789
45.0, 0.0, 12552.5Hz	loss: 0.33486	acc: 0.88617
45.0, 0.1, 15683.1Hz	loss: 0.43999	acc: 0.85662
45.0, 0.3, 14525.4Hz	loss: 0.67554	acc: 0.77158
45.0, 0.5, 14742.1Hz	loss: 0.71074	acc: 0.72947
90.0, 0.0, 15304.9Hz	loss: 0.62837	acc: 0.78300
90.0, 0.1, 17094.6Hz	loss: 0.74668	acc: 0.74950
90.0, 0.3, 14146.8Hz	loss: 0.95112	acc: 0.67563
90.0, 0.5, 15933.6Hz	loss: 0.93935	acc: 0.64658

==== 3d Classification
0.0, 0.0,    78.7Hz	loss: 0.83508	acc: 0.96755
0.0, 0.1,    77.7Hz	loss: 0.96913	acc: 0.96034
0.0, 0.3,    79.5Hz	loss: 1.60646	acc: 0.90991
0.0, 0.5,    79.3Hz	loss: 1.97925	acc: 0.86353
5.0, 0.0,    79.1Hz	loss: 1.15798	acc: 0.95858
5.0, 0.1,    79.4Hz	loss: 1.25513	acc: 0.95002
5.0, 0.3,    77.5Hz	loss: 1.80174	acc: 0.89709
5.0, 0.5,    77.6Hz	loss: 2.12221	acc: 0.84886
15.0, 0.0,    74.5Hz	loss: 1.65383	acc: 0.92834
15.0, 0.1,    77.4Hz	loss: 1.69122	acc: 0.91772
15.0, 0.3,    74.3Hz	loss: 2.08690	acc: 0.85792
15.0, 0.5,    80.3Hz	loss: 2.31664	acc: 0.81445
30.0, 0.0,    80.2Hz	loss: 2.03293	acc: 0.89473
30.0, 0.1,    80.2Hz	loss: 2.05806	acc: 0.87961
30.0, 0.3,    80.9Hz	loss: 2.40528	acc: 0.81135
30.0, 0.5,    80.3Hz	loss: 2.58598	acc: 0.76903
45.0, 0.0,    80.6Hz	loss: 2.43003	acc: 0.85091
45.0, 0.1,    80.8Hz	loss: 2.45234	acc: 0.83348
45.0, 0.3,    81.2Hz	loss: 2.72324	acc: 0.76743
45.0, 0.5,    80.8Hz	loss: 2.85208	acc: 0.72611
90.0, 0.0,    80.1Hz	loss: 3.08045	acc: 0.75310
90.0, 0.1,    78.9Hz	loss: 3.07587	acc: 0.72987
90.0, 0.3,    79.1Hz	loss: 3.22325	acc: 0.67788
90.0, 0.5,    79.5Hz	loss: 3.27690	acc: 0.64824
